 8483.8584,   -0.6207,   -0.4295,    1.3287,    1.4746,   -0.0423,    0.0542,    1.4735,   -0.0770,    0.0424,    4.2555,   -0.0311,    0.1445,    1.3750,    0.0760
 8484.0977,   -0.2973,   -0.7069,    0.5713,    1.5552,   -0.0755,    0.0772,    1.5552,   -0.0913,    0.0575,    4.6156,   -0.0350,    0.1543,    1.3580,    0.0810
 8484.3584,   -0.2365,   -0.3281,    0.5551,    1.5337,   -0.1152,    0.0716,    1.5329,   -0.1303,    0.0622,    5.0109,   -0.0442,    0.1593,    1.4140,    0.0830
 8484.5977,   -0.1029,   -0.5839,   -0.2927,    1.4897,   -0.0147,    0.0300,    1.4899,   -0.0071,    0.0148,    5.3787,   -0.0587,    0.1681,    1.4180,    0.0790
 8484.8584,   -1.0357,   -0.9001,   -0.6930,    1.4336,   -0.1268,   -0.0974,    1.4333,   -0.1073,   -0.1219,    5.7842,   -0.0874,    0.1752,    1.4500,    0.0750
 8485.0977,   -0.4023,   -0.1120,   -0.9201,    1.6047,   -0.0084,    0.0072,    1.6047,    0.0174,    0.0042,    6.1584,   -0.0988,    0.1710,    1.4090,    0.0810
 8485.3477,   -1.3057,   -0.7506,   -0.9022,    1.5453,   -0.1412,   -0.0674,    1.5463,   -0.1149,   -0.0903,    6.5650,   -0.1286,    0.1659,    1.5480,    0.0840
 8485.5879,   -0.6229,    0.1295,    0.5756,    1.5867,    0.1188,    0.0535,    1.5877,    0.1022,    0.0582,    6.9299,   -0.1278,    0.1568,    1.4760,    0.0780
 8485.8584,   -0.1719,    0.1255,    1.1076,    1.5453,    0.0052,   -0.0458,    1.5452,   -0.0245,   -0.0425,    7.3448,   -0.1271,    0.1512,    1.4990,    0.0740
 8486.0977,   -0.7945,    0.1577,    0.0624,    1.5094,    0.0242,   -0.0517,    1.5095,    0.0232,   -0.0472,    7.7084,   -0.1501,    0.1462,    1.4240,    0.0870
 8486.3477,   -1.3617,   -0.4638,    0.2249,    1.5582,   -0.0704,   -0.0476,    1.5575,   -0.0751,   -0.0620,    8.0950,   -0.1679,    0.1380,    1.4290,    0.0810
 8486.5977,   -1.2966,    0.0241,    0.7020,    1.4648,   -0.1379,   -0.0232,    1.4630,   -0.1553,   -0.0261,    8.4705,   -0.1770,    0.1273,    1.4560,    0.0890
 8486.8477,   -0.3902,   -0.7331,   -0.6480,    1.5155,   -0.0613,    0.0740,    1.5169,   -0.0445,    0.0543,    8.8388,   -0.1875,    0.1302,    1.3030,    0.0790
 8487.0977,   -1.3794,   -1.8098,   -0.3629,    1.3587,    0.0154,   -0.0744,    1.3555,    0.0268,   -0.1167,    9.2013,   -0.2172,    0.1321,    1.3560,    0.0750
 8487.3379,   -1.4964,    0.4062,    0.5828,    1.4267,   -0.0260,    0.0306,    1.4261,   -0.0416,    0.0397,    9.5479,   -0.2255,    0.1269,    1.3740,    0.0790
 8487.5977,   -0.2752,   -0.2052,    0.5021,    1.4357,   -0.1026,   -0.1095,    1.4343,   -0.1146,   -0.1152,    9.9356,   -0.2246,    0.1161,    1.3780,    0.0790
 8487.8584,   -1.1368,    0.7952,    1.1675,    1.3230,   -0.1058,   -0.1275,    1.3222,   -0.1305,   -0.1117,   10.3076,   -0.2483,    0.0940,    1.3450,    0.0840
 8488.0977,   -0.2389,    0.2944,    1.4916,    1.5140,    0.2479,   -0.0636,    1.5203,    0.2086,   -0.0550,   10.6572,   -0.2430,    0.0858,    1.3150,    0.0850
 8488.3477,   -0.5936,   -0.7797,    0.5808,    1.4565,   -0.0469,    0.0188,    1.4560,   -0.0616,   -0.0017,   11.0256,   -0.2593,    0.0769,    1.3000,    0.0810
 8488.5977,    0.1521,   -0.5130,    0.9356,    1.4227,   -0.1184,   -0.0456,    1.4202,   -0.1418,   -0.0579,   11.3904,   -0.2606,    0.0700,    1.3990,    0.0840
 8488.8584,    0.0516,    0.1579,    0.9338,    1.5076,   -0.0949,   -0.0143,    1.5059,   -0.1195,   -0.0101,   11.7794,   -0.2768,    0.0654,    1.3770,    0.0890
 8489.0879,   -0.4343,   -0.3050,    1.3268,    1.4367,   -0.0056,    0.0027,    1.4362,   -0.0389,   -0.0053,   12.1172,   -0.2921,    0.0628,    1.3800,    0.0870
