time,lat,lon,alt,prev_lat,prev_lon,prev_alt,z0,z1,z2,r0,r1,r2,offset_r,offset_f,offset_u,dEast,dNorth,dUp,multipathMultiplier,along_track_stretch,temp,last_odo,last_odo_valid,wz_avg,hacc,decay_factor,speed,yaw,yaw_avg,filtered_speed_diff,stretch_max,maxScalar
145.910740,37.398797900,-121.979292900,-21.309999466,37.398797532,-121.979290830,-21.381525,-0.081106,-0.164510,-0.080589,0.810000,0.810000,0.426540,0.000000,0.000000,0.000000,-0.690645,0.044394,-0.003000,1.000000,1.000000,0.900000,0.000000,0,0.913085,0.383000,0.050000,2.807000,-1.503752,-103.013439,-0.005239,0.000000,1.000000
146.160737,37.398798500,-121.979300900,-21.325000763,37.398798043,-121.979299017,-21.379070,-0.086529,-0.146172,-0.062186,0.810000,0.810000,0.403809,0.000000,0.000000,0.000000,-0.708355,0.066591,-0.015001,1.000000,1.000000,0.900000,0.000000,0,0.396294,0.383000,0.050000,2.874000,-1.498354,-102.861515,-0.005619,0.000000,1.000000
146.410748,37.398799000,-121.979308800,-21.357000351,37.398798564,-121.979306718,-21.378569,-0.087809,-0.164024,-0.030203,0.810000,0.810000,0.405107,0.000000,0.000000,0.000000,-0.699500,0.055492,-0.032000,1.000000,1.000000,0.900000,0.000000,0,1.280289,0.383000,0.050000,2.836000,-1.499045,-102.709653,-0.006013,0.000000,1.000000
146.660745,37.398799500,-121.979316100,-21.326999664,37.398799062,-121.979314238,-21.384736,-0.083298,-0.145594,-0.065090,0.810000,0.810000,0.407708,0.000000,0.000000,0.000000,-0.646374,0.055492,0.030001,1.000000,1.000000,0.900000,0.000000,0,0.714112,0.384000,0.050000,2.652000,-1.502074,-102.558972,-0.006862,0.000000,1.000000
146.900743,37.398799700,-121.979323400,-21.308000565,37.398799518,-121.979321242,-21.379293,-0.060766,-0.178893,-0.079171,0.810000,0.810000,0.407708,0.000000,0.000000,0.000000,-0.646374,0.022197,0.018999,1.000000,1.000000,0.900000,0.000000,0,0.774915,0.384000,0.050000,2.606000,-1.503819,-102.408537,-0.007064,0.000000,1.000000
147.160739,37.398800100,-121.979330100,-21.305000305,37.398799905,-121.979328406,-21.380450,-0.053013,-0.138932,-0.081452,0.810000,0.810000,0.402311,0.000000,0.000000,0.000000,-0.593247,0.044394,0.003000,1.000000,1.000000,0.900000,0.000000,0,0.506785,0.385000,0.050000,2.405000,-1.507087,-102.259509,-0.007369,0.000000,1.000000
147.400752,37.398800600,-121.979336500,-21.298000336,37.398800251,-121.979334674,-21.383519,-0.071787,-0.145941,-0.091635,0.810000,0.810000,0.414247,0.000000,0.000000,0.000000,-0.566684,0.055492,0.007000,1.000000,1.000000,0.900000,0.000000,0,0.212069,0.386000,0.050000,2.308000,-1.506884,-102.110440,-0.007754,0.000000,1.000000
147.650748,37.398800700,-121.979342700,-21.315000534,37.398800609,-121.979340750,-21.384537,-0.045703,-0.164226,-0.075772,0.810000,0.810000,0.414247,0.000000,0.000000,0.000000,-0.548975,0.011098,-0.017000,1.000000,1.000000,0.900000,0.000000,0,0.275575,0.385000,0.050000,2.245000,-1.508575,-101.961740,-0.008435,0.000000,1.000000
147.900745,37.398801100,-121.979348500,-21.343999863,37.398800904,-121.979346569,-21.396465,-0.056293,-0.159712,-0.058496,0.810000,0.810000,0.399424,0.000000,0.000000,0.000000,-0.513557,0.044394,-0.028999,1.000000,1.000000,0.900000,0.000000,0,0.205955,0.385000,0.050000,2.070000,-1.507441,-101.812521,-0.008430,0.000000,1.000000
148.160741,37.398801400,-121.979353800,-21.322999954,37.398801202,-121.979352205,-21.413111,-0.050100,-0.130971,-0.095033,0.810000,0.810000,0.399424,0.000000,0.000000,0.000000,-0.469285,0.033295,0.021000,1.000000,1.000000,0.900000,0.000000,0,0.215113,0.385000,0.050000,1.941000,-1.508495,-101.663705,-0.009275,0.000000,1.000000
